id,email,pid,start,end,duration,status
1,a@gmail.com,3,23/04/2021 23:09:43,23/04/2021 23:11:43,10,0
2,a@gmail.com,3,24/04/2021 00:32:18,24/04/2021 00:34:18,20,0
3,a@gmail.com,2,24/04/2021 00:32:18,24/04/2021 00:34:18,20,0
4,a@gmail.com,1,24/04/2021 00:32:18,24/04/2021 00:34:18,20,0
5,a@gmail.com,3,24/04/2021 00:32:56,24/04/2021 00:34:56,20,0
6,a@gmail.com,3,24/04/2021 00:44:06,24/04/2021 01:04:06,20,0
7,a@gmail.com,2,24/04/2021 00:44:06,24/04/2021 01:04:06,20,0
8,a@gmail.com,1,24/04/2021 00:44:06,24/04/2021 01:04:06,20,0
9,a@gmail.com,3,24/04/2021 00:44:06,24/04/2021 01:04:06,20,0
10,a@gmail.com,2,24/04/2021 00:44:06,24/04/2021 01:04:06,20,0
11,a@gmail.com,1,24/04/2021 00:44:06,24/04/2021 01:04:06,20,0
12,a@gmail.com,3,24/04/2021 01:05:17,24/04/2021 01:25:17,20,0
13,a@gmail.com,2,24/04/2021 01:05:17,24/04/2021 01:25:17,20,0
14,a@gmail.com,1,24/04/2021 01:05:17,24/04/2021 01:25:17,20,0
15,a@gmail.com,3,24/04/2021 01:10:09,24/04/2021 01:12:09,20,0
16,a@gmail.com,2,24/04/2021 01:10:09,24/04/2021 01:12:09,20,0
17,a@gmail.com,1,24/04/2021 01:10:09,24/04/2021 01:12:09,20,0
18,test01@yorku.ca,1,24/04/2021 10:57:14,24/04/2021 10:59:14,20,0
19,test01@yorku.ca,1,24/04/2021 10:59:33,24/04/2021 11:01:33,20,0
20,test01@yorku.ca,1,24/04/2021 11:18:38,24/04/2021 11:20:38,20,0
21,test01@yorku.ca,1,24/04/2021 11:25:06,24/04/2021 11:27:06,60,0
22,test01@yorku.ca,2,24/04/2021 11:25:06,24/04/2021 11:27:06,60,0
23,test01@yorku.ca,1,24/04/2021 11:26:22,24/04/2021 11:28:22,20,0
24,test01@yorku.ca,1,24/04/2021 11:31:19,24/04/2021 11:33:19,60,0
25,test01@yorku.ca,2,24/04/2021 11:31:19,24/04/2021 11:33:19,60,0
26,test01@yorku.ca,1,24/04/2021 11:31:42,24/04/2021 11:33:42,60,0
27,test01@yorku.ca,2,24/04/2021 11:31:42,24/04/2021 11:33:42,60,0
28,test01@yorku.ca,1,24/04/2021 11:32:51,24/04/2021 12:32:51,60,0
29,test01@yorku.ca,1,24/04/2021 13:15:04,24/04/2021 13:17:04,60,0
30,test01@yorku.ca,1,24/04/2021 13:15:36,24/04/2021 13:17:36,60,0
31,test04@yorku.ca,1,24/04/2021 20:49:34,24/04/2021 20:51:34,20,0
32,test01@yorku.ca,2,24/04/2021 20:52:29,24/04/2021 20:54:29,10,0
33,test01@yorku.ca,1,24/04/2021 20:53:13,24/04/2021 20:55:13,30,0
34,test01@yorku.ca,1,24/04/2021 21:00:14,24/04/2021 21:02:14,20,0
35,test01@yorku.ca,1,24/04/2021 21:02:44,24/04/2021 21:04:44,20,0
36,test01@yorku.ca,1,24/04/2021 21:05:25,24/04/2021 21:07:25,30,0
